model,threshold,model_nb,treat_all_nb,incremental
bidmc_postopA,0.05,0.02450783447167537,0.02450783447167537,0.0
bidmc_postopA,0.1,-0.029686174724342665,-0.029686174724342665,-0.029686174724342665
bidmc_postopA,0.15,-0.09025594970812754,-0.09025594970812754,-0.09025594970812754
bidmc_postopA,0.2,-0.1583969465648855,-0.1583969465648855,-0.1583969465648855
bidmc_postopA,0.25,-0.23358778625954196,-0.2356234096692112,-0.23358778625954196
bidmc_postopA,0.3,-0.3055616139585606,-0.32388222464558347,-0.3055616139585606
bidmc_postopB,0.05,0.023704298915226997,0.02450783447167537,-0.0008035355564483745
bidmc_postopB,0.1,-0.023918575063613237,-0.029686174724342665,-0.023918575063613237
bidmc_postopB,0.15,-0.06259541984732825,-0.09025594970812754,-0.06259541984732825
bidmc_postopB,0.2,-0.09351145038167938,-0.1583969465648855,-0.09351145038167938
bidmc_postopB,0.25,-0.11959287531806614,-0.2356234096692112,-0.11959287531806614
bidmc_postopB,0.3,-0.14612868047982552,-0.32388222464558347,-0.14612868047982552
bidmc_preop,0.05,0.019766974688629972,0.02450783447167537,-0.004740859783045399
bidmc_preop,0.1,-0.015776081424936396,-0.029686174724342665,-0.015776081424936396
bidmc_preop,0.15,-0.03520431073192637,-0.09025594970812754,-0.03520431073192637
bidmc_preop,0.2,-0.03358778625954198,-0.1583969465648855,-0.03358778625954198
bidmc_preop,0.25,-0.024427480916030534,-0.2356234096692112,-0.024427480916030534
bidmc_preop,0.3,-0.015485278080697929,-0.32388222464558347,-0.015485278080697929
eicu_setA,0.05,0.039044808893158575,0.03775083079275763,0.0012939781004009457
eicu_setA,0.1,0.012665300800894015,-0.015707456385422508,0.012665300800894015
eicu_setA,0.15,-0.008403361344537827,-0.07545495381985912,-0.008403361344537827
eicu_setA,0.2,-0.026494691748929038,-0.14267088843360032,-0.026494691748929038
eicu_setA,0.25,-0.040727633947972915,-0.218848947662507,-0.040727633947972915
eicu_setA,0.3,-0.05028869435649097,-0.30590958678125757,-0.05028869435649097
eicu_setC,0.05,0.04261305153365813,0.03775083079275763,0.004862220740900501
eicu_setC,0.1,0.024275159868380206,-0.015707456385422508,0.024275159868380206
eicu_setC,0.15,0.019195161767444915,-0.07545495381985912,0.019195161767444915
eicu_setC,0.2,0.016204134848202642,-0.14267088843360032,0.016204134848202642
eicu_setC,0.25,0.010864841373315951,-0.218848947662507,0.010864841373315951
eicu_setC,0.3,0.009232897852752574,-0.30590958678125757,0.009232897852752574
eicu_pure_setC,0.05,0.007227746786320634,-0.005740156843722213,0.007227746786320634
eicu_pure_setC,0.1,-0.0036183649086874905,-0.06161461000170678,-0.0036183649086874905
eicu_pure_setC,0.15,-0.0011385199240986719,-0.12406252823710132,-0.0011385199240986719
eicu_pure_setC,0.2,-0.00030721966205837174,-0.19431643625192013,-0.00030721966205837174
eicu_pure_setC,0.25,0.0,-0.2739375320020481,0.0
eicu_pure_setC,0.3,0.0,-0.3649330700021945,0.0
