,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
age,0.026301006257907253,0.033197649623426896,0.03074120034933534,0.03436610550504887,0.027259419480848906,0.03528491918347323,0.029463553769953053,0.03001611600888447,0.0328054780575585,0.025984228368020685,0.034386724355694114,0.028820425569150734,0.030885182240562158,0.030384549577620337,0.030362171749858675
sex,0.0028110842137918897,0.0031119203455376157,0.0034898327463424887,0.0020696986937241662,0.0033558449638229778,0.0033813077001762447,0.0025746466750409523,0.002968649497497623,0.0034632464437887225,0.0034129748291182017,0.0023681564398843795,0.003090704926635307,0.003119529477361383,0.004491379246491905,0.0024433476614976798
gcs_admission,0.028470797369553106,0.017344170388010286,0.018641622665349793,0.020001117622351836,0.020878105853002246,0.01966673259493355,0.020564531589564672,0.027843564642826907,0.023833176163639957,0.020491871923375406,0.02203078921867389,0.021688239009793966,0.018096512053635543,0.020161882694560734,0.022771055495710256
prior_seizures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
craniotomy,0.0027140008669395994,0.0018004635964038217,0.0015209448709106108,0.0017182418775995578,0.0018116549583611118,0.0017528836023529557,0.0023586107808031436,0.0020827189624617075,0.0009943419266355003,0.001519686475262266,0.0015814288396931383,0.0012583243916811063,0.002736047932141669,0.0017085806953414096,0.0012594018004548962
burr_hole,0.0008585153141913292,0.0007477904554927073,0.0012277975678571828,0.0008495792048008937,0.00028392199183928683,0.0012142420269545505,0.0005762451682669308,0.0003339442015105832,0.0009094619539204022,0.0004797354371276488,0.0004891118783204505,0.0011842421872925745,0.0009999347010651834,0.00031101748526808013,0.0009595251463317895
prophylactic_aed,0.0035611142063730066,0.0015307476254291076,0.002847760354767595,0.004222821554571671,0.002752922208724584,0.0037098484679535856,0.0047158157316686475,0.00349474934683896,0.0019206398756978842,0.002121689227369477,0.0028773218197731187,0.0024145914293848022,0.0031784180663830255,0.0018859702810326083,0.0030302355549278793
pre_admission_aed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apache_score,0.028089666142626032,0.02229028282810931,0.023915449323139337,0.021455476471963258,0.021164097421553212,0.024837451927142103,0.02150232342816787,0.022254940532946667,0.02322626129861736,0.02125982453065643,0.021366615366586107,0.022052804643758108,0.023608861641207835,0.025221495883453078,0.02400296801280177
apache_gcs,0.035488763473625534,0.026431668773098264,0.038111221379469894,0.03675959206514257,0.02910837134015559,0.0301887871217731,0.029793208462249306,0.03752741004038806,0.035669135643095276,0.029013794165038555,0.03320658103311763,0.034025976878508786,0.029154915216978418,0.03368722576658211,0.03529686841029374
any_anticoagulant,0.001756129806201437,0.0012635856208993014,0.0010761105097115912,0.0012917933639419643,0.001409016155389158,0.0013845715418406043,0.0026527847376377266,0.0013608072020754054,0.0009666139365292521,0.0013650993905953688,0.002101401744664187,0.0012070950596907624,0.0015310219788084883,0.0013676525364176922,0.0014776661040380075
any_antiplatelet,0.0002843242195522448,0.0005085238140743031,0.00047001188918491444,0.0004987828262026263,0.00025581514836479604,0.0004996258438379048,0.00034274702295690256,0.00045592887496412343,0.00044544923958097555,0.00041624765389793207,0.00040275793597510765,0.00037505808841304755,0.0004921361705177534,0.0005329813358183503,0.00035742584025161603
any_steroid,0.0010679515494821234,0.000966918444393843,0.0012791981333173652,0.0019895367985680217,0.0010343326946077017,0.0013801946967905302,0.0011509624962625286,0.0011990553036856553,0.0014066409923085062,0.0010990144866155783,0.0010184297989238706,0.0011744123471155595,0.0011245386895964106,0.001357165343134137,0.0012791460552949714
mechanical_ventilation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icp_monitor,3.303796078857704e-05,9.298575892407605e-05,0.00010633981239451134,5.702143340790904e-05,5.7580162470234465e-05,1.4886656943197366e-05,5.794027813803548e-05,4.4945045544995114e-05,0.00010447464154348952,0.0001528495758211971,3.3624073114565416e-05,0.00015883428699834428,1.5021170094990221e-05,2.890146649984862e-05,0.000150753425464106
blood_transfusion,1.2449721586005642e-19,1.325567517101742e-18,3.0247371080466804e-06,0.0,1.0216120382107012e-20,2.1570956150749253e-19,1.0909560867201529e-19,4.695982704654529e-06,7.663888054450213e-20,7.964131391075248e-06,6.999566147807647e-06,1.8242551051251198e-19,1.2162903230708954e-05,2.510777104676505e-19,0.0
comorbidity_count,0.006996622451803856,0.008053612185601876,0.007295640701971384,0.0070751409115525484,0.009955146555882711,0.006129715223608616,0.0068012466161598735,0.008264360894602672,0.009275209005216254,0.00797061586807516,0.00780302938081696,0.006360408333391738,0.008029609779345899,0.00807608694174763,0.008358889955297695
hx_hypertension,0.003111220148442705,0.00255881072163899,0.002717293097334172,0.0027977041124309008,0.002078683886801971,0.002839056517837483,0.0026595654619259628,0.002831019656761486,0.00318940956810476,0.002624737076577494,0.002369028988549998,0.0021130336559544516,0.0026704072681264265,0.002759660624604498,0.002941646792015223
hx_diabetes,0.00227322037570715,0.0019818074120590496,0.0021762185698010264,0.0016515376379359636,0.002088505798108897,0.0023788702575587607,0.002106928161934929,0.001839961882539792,0.002153799457793969,0.0023456005923602865,0.0018842471237990926,0.002177045425460549,0.001803870909939629,0.0022858010612638777,0.002048923997827191
hx_stroke,0.0015963425840929786,0.0019830055105374794,0.0019222756045193675,0.0014832939740293018,0.0025551817409010832,0.002458212388595012,0.0019826385819546807,0.001783580695633114,0.0019747941174796443,0.0017292346000644374,0.002273947221271256,0.0013360044503346099,0.001571505436339913,0.0017600499716096914,0.002613763718691303
hx_dementia,0.0017128061511592313,0.0012644045089699968,0.002026458410548882,0.0019162127542234196,0.0025310825939218926,0.0014851684772066627,0.00144359758096065,0.0023642259573722763,0.002934054128842505,0.0018032584475626405,0.0014075648497476612,0.0025249313274835813,0.0016675237429396427,0.0021495890716123735,0.001096581938051114
hx_afib,0.0036419176877858436,0.0017123964342456277,0.0015938468418956668,0.0015789007509194085,0.0028971685093740333,0.0018150529772131049,0.0017028680866286812,0.002164526787455028,0.001616325689299788,0.00435162812533603,0.002485903607155423,0.0021631109208996935,0.0019136807055179339,0.0015257217878353357,0.0017992295864460643
hx_alcohol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pupil_abnormality,0.0006303388047299231,0.0004884015705768481,0.00034675123058841486,0.00040315129281836757,0.0003728929624459345,0.0004944730730831462,3.7078413429313055e-05,0.00026555390589663047,0.0006273226489595295,0.00036609703767411384,0.00012397467295714306,0.0006267114736561295,0.0002687766647617439,0.0007069976595866157,0.0002228860566039701
icp_available,0.00023375969598405234,2.1471720398172073e-05,0.0002021783175408641,0.00022557060440082138,0.00020656220910647585,0.0002131290030760564,0.00011455103950933373,0.00018223871069727136,0.00011651288711712378,0.00011094645071985673,0.00011267070582108671,0.0001843876590098834,9.94041301473298e-05,0.00015183459687473697,0.0002864317961555665
n_labs_24h,0.017013967005397503,0.017293350941148877,0.019198153386180687,0.016223561968187552,0.01784841024124853,0.017776017368044506,0.015957280614962262,0.018736989112203783,0.020181278608070705,0.01621344739097428,0.018023711711145293,0.019586407604923077,0.016321781010209844,0.01786534505893813,0.020025705580435826
n_vitals_24h,0.024986863631073223,0.029807352303126314,0.027320830695357276,0.02462336012097793,0.027790970169518717,0.02988136949152903,0.03135675961552615,0.021911446708821097,0.02911021682810493,0.03413472849813837,0.027520577044716447,0.023347888601819532,0.0277672450660038,0.029548263959682873,0.03447933336456106
