feature,n_miss,p_miss_y1,p_miss_y0,chi2,p_value,test
age,0,,,,,—
sex,1,0.0,0.0003215434083601286,,1.0,Fisher
gcs_admission,36,0.006896551724137931,0.011254019292604502,,1.0,Fisher
prior_seizures,0,,,,,—
craniotomy,0,,,,,—
burr_hole,0,,,,,—
prophylactic_aed,0,,,,,—
pre_admission_aed,0,,,,,—
apache_score,443,0.2,0.13311897106109324,4.717188281050803,0.029862534848299406,chi2
apache_gcs,188,0.1310344827586207,0.054340836012861736,13.59751347586189,0.00022648531830618164,chi2
any_anticoagulant,0,,,,,—
any_antiplatelet,0,,,,,—
any_steroid,0,,,,,—
mechanical_ventilation,0,,,,,—
icp_monitor,0,,,,,—
blood_transfusion,0,,,,,—
comorbidity_count,0,,,,,—
hx_hypertension,0,,,,,—
hx_diabetes,0,,,,,—
hx_stroke,0,,,,,—
hx_dementia,0,,,,,—
hx_afib,0,,,,,—
hx_alcohol,0,,,,,—
pupil_abnormality,3000,0.6896551724137931,0.932475884244373,109.79502303878085,1.086658724487205e-25,chi2
icp_available,36,0.0,0.01157556270096463,,0.4066559981410575,Fisher
n_labs_24h,290,0.07586206896551724,0.08971061093247588,0.17898379585000307,0.6722480086189493,chi2
n_vitals_24h,36,0.0,0.01157556270096463,,0.4066559981410575,Fisher
Hgb_first,565,0.15862068965517243,0.1742765273311897,0.14015911410213777,0.7081228825755519,chi2
PT___INR_first,1817,0.6689655172413793,0.5530546623794212,7.084987067087736,0.007773238035354415,chi2
WBC_x_1000_first,552,0.16551724137931034,0.16977491961414792,0.00041389408418972344,0.9837686473632479,chi2
albumin_first,2246,0.6620689655172414,0.6913183279742765,0.42581913654665793,0.5140475977509257,chi2
calcium_first,614,0.16551724137931034,0.18971061093247588,0.38354448738433294,0.5357123646546085,chi2
creatinine_first,479,0.15172413793103448,0.1469453376205788,0.0015104715663878622,0.968998192297117,chi2
glucose_first,489,0.15862068965517243,0.14983922829581994,0.029033866232980318,0.8647008650394217,chi2
lactate_first,3050,0.8827586206896552,0.9395498392282958,6.639842953937172,0.009972272496053423,chi2
magnesium_first,1891,0.5103448275862069,0.5842443729903537,2.8116853852910952,0.09358001440896652,chi2
