wtp,comparison,p_ce
0,ML-AED vs Obs,0.9629
0,ML+cEEG vs Obs,0.7751
0,ML+cEEG vs Univ AED,0.4758
0,ML+cEEG vs ML-AED,0.3548
5000,ML-AED vs Obs,0.9676
5000,ML+cEEG vs Obs,0.7936
5000,ML+cEEG vs Univ AED,0.4849
5000,ML+cEEG vs ML-AED,0.3692
10000,ML-AED vs Obs,0.9711
10000,ML+cEEG vs Obs,0.8119
10000,ML+cEEG vs Univ AED,0.4939
10000,ML+cEEG vs ML-AED,0.3865
15000,ML-AED vs Obs,0.9745
15000,ML+cEEG vs Obs,0.8288
15000,ML+cEEG vs Univ AED,0.5029
15000,ML+cEEG vs ML-AED,0.3994
20000,ML-AED vs Obs,0.9771
20000,ML+cEEG vs Obs,0.842
20000,ML+cEEG vs Univ AED,0.5134
20000,ML+cEEG vs ML-AED,0.4123
25000,ML-AED vs Obs,0.9794
25000,ML+cEEG vs Obs,0.8555
25000,ML+cEEG vs Univ AED,0.5228
25000,ML+cEEG vs ML-AED,0.4268
30000,ML-AED vs Obs,0.9816
30000,ML+cEEG vs Obs,0.8679
30000,ML+cEEG vs Univ AED,0.5323
30000,ML+cEEG vs ML-AED,0.4409
35000,ML-AED vs Obs,0.9833
35000,ML+cEEG vs Obs,0.8788
35000,ML+cEEG vs Univ AED,0.5414
35000,ML+cEEG vs ML-AED,0.453
40000,ML-AED vs Obs,0.9847
40000,ML+cEEG vs Obs,0.8905
40000,ML+cEEG vs Univ AED,0.5498
40000,ML+cEEG vs ML-AED,0.4668
45000,ML-AED vs Obs,0.9857
45000,ML+cEEG vs Obs,0.9007
45000,ML+cEEG vs Univ AED,0.5568
45000,ML+cEEG vs ML-AED,0.4817
50000,ML-AED vs Obs,0.9871
50000,ML+cEEG vs Obs,0.9083
50000,ML+cEEG vs Univ AED,0.5639
50000,ML+cEEG vs ML-AED,0.4945
55000,ML-AED vs Obs,0.9885
55000,ML+cEEG vs Obs,0.9162
55000,ML+cEEG vs Univ AED,0.5717
55000,ML+cEEG vs ML-AED,0.5071
60000,ML-AED vs Obs,0.9894
