outer_fold,lambda_group_lasso,lambda_sgl
0,0.006579332246575682,0.006579332246575682
1,0.04328761281083057,0.08111308307896868
2,0.003511191734215131,0.003511191734215131
3,0.04328761281083057,0.02310129700083159
4,0.012328467394420659,0.04328761281083057
5,0.04328761281083057,0.04328761281083057
6,0.001,0.001
7,0.08111308307896868,0.08111308307896868
8,0.02310129700083159,0.02310129700083159
9,0.04328761281083057,0.08111308307896868
10,0.001,0.001873817422860383
11,0.04328761281083057,0.04328761281083057
12,0.003511191734215131,0.003511191734215131
13,0.04328761281083057,0.04328761281083057
14,0.02310129700083159,0.012328467394420659
