feature_set,model,auc,ci_lo,ci_hi,brier,prauc
postop_A,BalancedRF,0.6757619439868204,0.595262771721743,0.7599972289873755,0.2278946819301233,0.13689716426475035
postop_A,XGBoost (tuned),0.6365664470071388,0.5481008813326963,0.726508497630475,0.2070226766222562,0.1500684744549412
postop_A,LightGBM (tuned),0.6453185063152116,0.5570639739719297,0.7416034695367021,0.10404140724528026,0.14306235731280253
postop_A,LR-EN + SMOTE,0.671334431630972,0.5919619502904592,0.7461158901901691,0.19230406435743075,0.13934797935724308
postop_A,Stacking (BRF+XGB+LGBM),0.6537616694124108,0.572560685345536,0.737317983633282,0.06681609972347609,0.13278891411170024
postop_A,Stacking + isotonic,0.62765993959363,0.5467867116105625,0.7065039899512339,0.06808221837641291,0.13227183143689947
postop_B,BalancedRF,0.6583264689730917,0.5679492901729739,0.7509302410655342,0.22814953323283962,0.14234058771304917
postop_B,XGBoost (tuned),0.6596306974190005,0.5773647958153574,0.7456416496531286,0.16718070089682263,0.15135181916404436
postop_B,LightGBM (tuned),0.6434308072487646,0.5530873381937211,0.7397489169526423,0.08687107695658632,0.14217535931859931
postop_B,LR-EN + SMOTE,0.6427100494233937,0.5632967966334993,0.7253525512680501,0.1992464611393538,0.12208469837789032
postop_B,Stacking (BRF+XGB+LGBM),0.6395867655134542,0.5527917203049201,0.7277383014469925,0.06668263665078568,0.14047808381793694
postop_B,XGBoost (tuned) + isotonic,0.6680395387149918,0.5864588982196415,0.7523081748569239,0.06787674651964136,0.1459843454409793
