scenario,wtp,p_obs,p_aed,p_mla,p_mlg
A_base,0,0.3575,0.0784,0.0836,0.4805
A_base,5000,0.3394,0.0802,0.0799,0.5005
A_base,10000,0.3208,0.0828,0.0774,0.519
A_base,15000,0.3036,0.0845,0.0738,0.5381
A_base,20000,0.2882,0.0868,0.0716,0.5534
A_base,25000,0.2719,0.0885,0.0687,0.5709
A_base,30000,0.2587,0.0905,0.0649,0.5859
A_base,35000,0.2448,0.0929,0.061,0.6013
A_base,40000,0.2343,0.0943,0.057,0.6144
A_base,45000,0.2208,0.0962,0.056,0.627
A_base,50000,0.2073,0.0969,0.0543,0.6415
A_base,55000,0.1954,0.0983,0.0515,0.6548
A_base,60000,0.1863,0.0988,0.0492,0.6657
A_base,65000,0.1778,0.1001,0.0457,0.6764
A_base,70000,0.1675,0.1011,0.0431,0.6883
A_base,75000,0.1574,0.1014,0.041,0.7002
A_base,80000,0.1491,0.1028,0.0385,0.7096
A_base,85000,0.1395,0.1031,0.0367,0.7207
A_base,90000,0.1313,0.1029,0.0344,0.7314
A_base,95000,0.124,0.1034,0.0321,0.7405
A_base,100000,0.1182,0.1035,0.0306,0.7477
A_base,105000,0.1126,0.1044,0.0291,0.7539
A_base,110000,0.1061,0.105,0.0268,0.7621
A_base,115000,0.1004,0.1051,0.0257,0.7688
A_base,120000,0.0945,0.1048,0.0243,0.7764
A_base,125000,0.0903,0.1053,0.0226,0.7818
A_base,130000,0.0851,0.1055,0.0217,0.7877
A_base,135000,0.0817,0.1054,0.0206,0.7923
A_base,140000,0.077,0.1058,0.0197,0.7975
A_base,145000,0.0724,0.1057,0.0182,0.8037
A_base,150000,0.0679,0.106,0.0172,0.8089
A_base,155000,0.0645,0.1061,0.016,0.8134
A_base,160000,0.0615,0.1063,0.0149,0.8173
A_base,165000,0.0585,0.1066,0.0143,0.8206
A_base,170000,0.056,0.1064,0.0139,0.8237
A_base,175000,0.053,0.1067,0.0126,0.8277
A_base,180000,0.0507,0.1064,0.012,0.8309
A_base,185000,0.048,0.1066,0.0114,0.834
