scan,param,aed_rrr,winner,nmb_obs,nmb_aed,nmb_ml-aed,nmb_ml-cEEG
aed_disutility,0.02,0.45,aed,637133.5,640670.8,639293.9,639638.2
aed_disutility,0.03,0.45,aed,637133.5,640490.0,639235.3,639619.6
aed_disutility,0.04,0.45,aed,637133.5,640309.1,639176.7,639600.9
aed_disutility,0.05,0.45,aed,637133.5,640128.3,639118.1,639582.3
aed_disutility,0.06,0.45,aed,637133.5,639947.5,639059.5,639563.7
aed_disutility,0.08,0.45,aed,637133.5,639585.8,638942.3,639526.4
aed_disutility,0.1,0.45,ml-cEEG,637133.5,639224.2,638825.2,639489.1
aed_disutility,0.12,0.45,ml-cEEG,637133.5,638862.6,638708.0,639451.8
aed_disutility,0.15,0.45,ml-cEEG,637133.5,638320.1,638532.2,639395.9
aed_disutility,0.2,0.45,ml-cEEG,637133.5,637416.0,638239.3,639302.7
aed_rrr,0.45,0.45,aed,637133.5,640670.8,639293.9,639638.2
aed_rrr,0.4,0.4,aed,637133.5,639998.9,638957.9,639443.7
aed_rrr,0.35,0.35,aed,637133.5,639327.0,638622.0,639249.2
aed_rrr,0.3,0.3,ml-cEEG,637133.5,638655.1,638286.0,639054.7
aed_rrr,0.25,0.25,ml-cEEG,637133.5,637983.3,637950.1,638860.1
aed_rrr,0.2,0.2,ml-cEEG,637133.5,637311.4,637614.2,638665.6
aed_rrr,0.15,0.15,ml-cEEG,637133.5,636639.5,637278.2,638471.1
grid,0.02,0.45,aed,637133.5,640670.8,639293.9,639638.2
grid,0.02,0.35,aed,637133.5,639327.0,638622.0,639249.2
grid,0.02,0.25,ml-cEEG,637133.5,637983.3,637950.1,638860.1
grid,0.02,0.15,ml-cEEG,637133.5,636639.5,637278.2,638471.1
grid,0.04,0.45,aed,637133.5,640309.1,639176.7,639600.9
grid,0.04,0.35,ml-cEEG,637133.5,638965.4,638504.8,639211.9
grid,0.04,0.25,ml-cEEG,637133.5,637621.6,637832.9,638822.9
grid,0.04,0.15,ml-cEEG,637133.5,636277.9,637161.1,638433.8
grid,0.06,0.45,aed,637133.5,639947.5,639059.5,639563.7
grid,0.06,0.35,ml-cEEG,637133.5,638603.7,638387.6,639174.6
grid,0.06,0.25,ml-cEEG,637133.5,637260.0,637715.8,638785.6
grid,0.06,0.15,ml-cEEG,637133.5,635916.2,637043.9,638396.5
grid,0.08,0.45,aed,637133.5,639585.8,638942.3,639526.4
grid,0.08,0.35,ml-cEEG,637133.5,638242.1,638270.5,639137.3
grid,0.08,0.25,ml-cEEG,637133.5,636898.3,637598.6,638748.3
grid,0.08,0.15,ml-cEEG,637133.5,635554.6,636926.7,638359.3
grid,0.1,0.45,ml-cEEG,637133.5,639224.2,638825.2,639489.1
grid,0.1,0.35,ml-cEEG,637133.5,637880.5,638153.3,639100.1
grid,0.1,0.25,ml-cEEG,637133.5,636536.7,637481.4,638711.0
grid,0.1,0.15,ml-cEEG,637133.5,635192.9,636809.5,638322.0
grid,0.15,0.45,ml-cEEG,637133.5,638320.1,638532.2,639395.9
grid,0.15,0.35,ml-cEEG,637133.5,636976.3,637860.4,639006.9
grid,0.15,0.25,ml-cEEG,637133.5,635632.6,637188.5,638617.8
grid,0.15,0.15,ml-cEEG,637133.5,634288.8,636516.6,638228.8
